formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
e0247510-ab19-4c17-ae83-a2329bcfe158,Badan Kepegawaian Negara,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional XIII BKN Banda Aceh | Bagian Tata Usaha Kantor Regional XIII BKN Banda Aceh | Subbagian Perencanaan dan Keuangan Kantor Regional XIII BKN Banda Aceh,1,1,7920850,8734850,6,0,0,0
f5b84839-1e3a-4611-8cb0-598bc2a83b7d,Badan Kepegawaian Negara,CPNS,UMUM,AUDITOR AHLI PERTAMA,Badan Kepegawaian Negara | Inspektorat,5,1,7830850,8644850,113,0,0,0
8a01869291548667019154b8bac22a1d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tenggara,1,1,2785700,9024448,10,0,0,0
8a01869291548667019154ba45882bf1,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,1,1,2785700,9024448,10,0,0,0
8a01869291548667019154c0a82c37e5,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Selatan,1,1,2785700,9024448,22,0,0,0
8a01869291548667019154c272dc3bd2,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,1,1,2785700,9024448,16,0,0,0
8a01869291548667019154c5bffc406f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,1,1,2785700,9024448,6,0,0,0
8a01869291548667019154c8fec9471e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,1,2785700,9024448,58,0,0,0
8a01869291548667019154dc26ad6c0a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,1,2785700,9024448,7,0,0,0
8a01869291548667019154e984b80641,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,1,1,2785700,9024448,12,0,0,0
8a01869291548667019154ebaa660b93,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,1,1,2785700,9024448,8,0,0,0
