formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
42a1fd2c-de95-44be-83e1-11f6d18da802,Pemerintah Kab. Morowali Utara,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH DAERAH KABUPATEN MOROWALI UTARA | PEMDA KAB. MOROWALI UTARA | DINAS KESEHATAN DAERAH | UPT PUSKESMAS PANDAUKE KEC. MAMOSALATO,1,0,2785700,2785700,7,0,0,0
473c43e9-261c-47c7-a0dc-ed612406120c,Pemerintah Kab. Morowali Utara,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH DAERAH KABUPATEN MOROWALI UTARA | PEMDA KAB. MOROWALI UTARA | RUMAH SAKIT UMUM DAERAH KOLONODALE | BIDANG PENUNJANG MEDIK DAN NON MEDIK | SEKSI PENUNJANG MEDIK,1,0,2785700,2785700,18,0,0,0
52e27f21-8da0-4de5-a932-349771f3ae63,Pemerintah Kab. Morowali Utara,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH DAERAH KABUPATEN MOROWALI UTARA | PEMDA KAB. MOROWALI UTARA | DINAS KESEHATAN DAERAH | UPT PUSKESMAS LE'E KEC. MORI ATAS,1,0,2785700,2785700,7,0,0,0
a5a78e97-acdf-4e75-acb2-8a413b5ec6d1,Pemerintah Kab. Morowali Utara,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH DAERAH KABUPATEN MOROWALI UTARA | PEMDA KAB. MOROWALI UTARA | DINAS KESEHATAN DAERAH | UPT PUSKESMAS BATURUBE KEC. BUNGKU UTARA,1,0,2785700,2785700,6,0,0,0
065aed92-97a3-42f8-8519-cc11658c2b12,Pemerintah Kab. Muara Enim,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUARA ENIM | DINAS KESEHATAN | RUMAH SAKIT UMUM DAERAH LUBAI ULU,1,1,2785700,3175698,4,0,0,0
3fbb033d-4b5e-4f40-9a9c-447171ab366f,Pemerintah Kab. Muara Enim,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUARA ENIM | DINAS KESEHATAN | UPTD PUSKESMAS TEBAT AGUNG,1,1,2785700,3175698,6,0,0,0
47054331-c028-4f0f-800a-ef2401ac4581,Pemerintah Kab. Muara Enim,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUARA ENIM | DINAS KESEHATAN | UPTD PUSKESMAS GELUMBANG,1,1,2785700,3175698,8,0,0,0
82fd2cf6-be69-483f-b214-4e916f68955d,Pemerintah Kab. Muara Enim,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUARA ENIM | RSUD DR. H. M. RABAIN,1,1,2785700,3175698,5,0,0,0
90204d16-59a3-47ac-ac6a-f95b8bdcfe4d,Pemerintah Kab. Muara Enim,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUARA ENIM | DINAS KESEHATAN | UPTD PUSKESMAS TANJUNG ENIM,1,1,2785700,3175698,12,0,0,0
b4338e58-dbe2-4ddb-be49-9916167e9177,Pemerintah Kab. Muara Enim,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUARA ENIM | DINAS KESEHATAN | UPTD PUSKESMAS KELEKAR,1,1,2785700,3175698,7,0,0,0
